Event Name,Time,Distinct ID,City,Country,Operating System
onboarding_step_complete,1771073356.883,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
screen_view,1771073356.883,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_action,1771073356.865,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
screen_view,1771073350.298,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_action,1771073350.29,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
screen_view,1771073345.823,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_step_complete,1771073345.822,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
screen_view,1771073345.822,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_step_view,1771073345.822,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_action,1771073345.793,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
screen_view,1771073338.382,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_step_view,1771073338.382,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_action,1771073338.342,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
restore_completed,1771073333.816,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
onboarding_start,1771073332.901,$device:856779D5-0213-4DEE-8AFA-10E28A7E9AB1,Manchester,GB,iOS
restore_completed,1771071018.296,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
screen_view,1771071016.851,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_step_view,1771071016.85,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
onboarding_start,1771071016.747,$device:CD548FE9-0383-4440-9CA0-C1E601EB3106,,AR,iOS
restore_fail,1771069100.938,$device:B6F7C49F-1B1E-4C18-8C71-2329CE980393,Melbourne,AU,iOS
screen_view,1771066052.289,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
paywall_impression,1771066052.289,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
onboarding_action,1771066052.216,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
restore_completed,1771066048.498,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
screen_view,1771066047.679,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
onboarding_step_view,1771066047.679,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
onboarding_start,1771066047.539,$device:36997AB6-0587-43D4-9924-58CF136686E7,Nitra,SK,iOS
screen_view,1771065989.211,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_complete,1771065989.211,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_view,1771065989.211,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_action,1771065989.076,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065977.653,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_view,1771065977.653,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_complete,1771065977.653,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_action,1771065977.618,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065975.901,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_view,1771065975.901,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_complete,1771065975.9,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_action,1771065975.876,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065925.201,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_view,1771065925.201,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_complete,1771065925.201,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_action,1771065923.666,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065919.817,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065919.805,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065912.06,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_action,1771065912.022,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
pipeline_migration_onboarding_started,1771065908.799,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065908.799,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
onboarding_step_view,1771065908.788,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065908.788,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
pipeline_migration_onboarding_started,1771065908.774,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065908.774,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
migration_confirm_accepted,1771065908.155,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065900.745,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
apology_fix_now_tapped,1771065899.937,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
screen_view,1771065887.411,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
apology_screen_shown,1771065887.411,$device:29B51894-8368-437C-ACAF-DF5B903D2B57,Bratislava,SK,iOS
